ID,Age,Gender,Education_Level,Country,Employment_Status,Years_Programming,Primary_Role,Company_Size,Languages_Count,Paradigms_Experienced,Primary_Paradigm,Projects_Completed,Hours_Per_Week,Formal_CS_Training,Current_Salary_USD,Imperative_Difficulty,Functional_Difficulty,Object_Oriented_Difficulty,Logic_Difficulty,Reactive_Difficulty,Declarative_Difficulty,Imperative_Months,Functional_Months,Object_Oriented_Months,Logic_Months,Reactive_Months,Declarative_Months,Learning_Curve_Steepness,Plateau_Experienced,Knowledge_Retention,Difficulty_Transitioning,Prefer_First_Paradigm,Mental_Model_Shift,Preferred_Learning_Method,Motivation_Factors,Biggest_Challenge,Transferable_Skills,Avg_Difficulty,Total_Learning_Months,Experience_Level,Salary_Category,Paradigm_Diversity
142,27,Female,Bachelor's Degree,Poland,Full-time,4.5,Frontend Developer,Small (11-50),5,3,Object-Oriented,15,41,Yes,88000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Theoretical challenge,Mathematical thinking patterns,Proof construction skills,5.666666666666667,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
143,38,Male,PhD,Netherlands,Full-time,15.0,DevOps Engineer,Large (1000+),8,5,Functional,34,47,Yes,142000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Documentation,Employment opportunities,State management techniques,Control flow design,3.5,28.5,Expert (10+ years),High (100k-150k),1.0
144,25,Female,Bachelor's Degree,Mexico,Contract,2.5,Web Developer,Medium (101-500),5,3,Object-Oriented,12,42,Yes,90000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Learning curve navigation,Monad concepts,Effect handling patterns,4.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
145,33,Non-binary,Master's Degree,South Korea,Full-time,9.0,Data Scientist,Startup (1-10),7,4,Object-Oriented,20,43,Yes,108000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Bootcamp,Practical application needs,Design pattern implementation,Software architecture principles,3.6666666666666665,28.5,Experienced (5-10 years),High (100k-150k),0.8
146,28,Male,Bachelor's Degree,USA,Full-time,5.0,Full Stack Developer,Small (11-50),6,4,Functional,19,44,Yes,104000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Conceptual beauty appreciation,Backtracking algorithms,Search pattern optimization,5.333333333333333,28.5,Experienced (5-10 years),High (100k-150k),0.8
147,24,Female,Bachelor's Degree,Canada,Part-time,2.0,Junior Developer,Medium (101-500),4,3,Procedural,11,39,Yes,68000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Tutorials,Immediate project needs,Basic syntax acquisition,Simple algorithmic thinking,3.0,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
148,39,Male,PhD,Germany,Full-time,16.0,System Architect,Large (1000+),9,5,Object-Oriented,38,50,Yes,150000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Problem-solving satisfaction,Observable patterns,Async system design,4.5,28.5,Expert (10+ years),Very High (150k+),1.0
149,30,Female,Master's Degree,UK,Full-time,7.0,Backend Developer,Medium (101-500),7,4,Functional,21,45,Yes,118000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Online courses,Career development paths,Polymorphic design,Interface architecture,3.6666666666666665,28.5,Experienced (5-10 years),High (100k-150k),0.8
150,26,Male,Bachelor's Degree,France,Full-time,3.5,Mobile Developer,Small (11-50),5,3,Object-Oriented,13,42,Yes,94000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Intellectual stimulation sources,Type inference systems,Generic programming techniques,5.666666666666667,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
151,34,Non-binary,PhD,Brazil,Full-time,13.0,ML Engineer,Large (1000+),8,5,Functional,31,48,Yes,136000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Job needs,Memory patterns,Algorithm implementation,3.5,28.5,Expert (10+ years),High (100k-150k),1.0
152,29,Female,Bachelor's Degree,India,Full-time,6.0,Web Developer,Medium (101-500),6,4,Object-Oriented,17,43,Yes,102000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Technical growth,Function composition,Pipeline design,4.5,28.5,Experienced (5-10 years),High (100k-150k),0.8
153,27,Male,Master's Degree,Australia,Full-time,4.5,Full Stack Developer,Startup (1-10),5,3,Functional,16,42,Yes,98000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Tutorials,Skill development,Encapsulation,Module design principles,3.6666666666666665,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
